transaction_id,description,value,date
b3e822a2-51eb-4cbf-a409-5103c9b3359d,sapien,-119.25,2018-11-17
db3bac4b-a519-4bba-a02c-a3c284de68ba,libero convallis,2558.39,2019-04-30
1afb0301-0020-421c-87cc-60a832924c01,rhoncus,-681.83,2019-03-19
bc643461-f767-4610-9dca-7f49f04d76f4,donec ut mauris,2946.04,2019-09-06
ebb748ff-9085-4bd7-a656-0592f6eeb581,ut mauris eget,-2224.81,2019-07-12
372388e0-33de-4736-9c17-25f5952223a5,ultrices,-10825.12,2019-05-27
900ff632-462f-4cd9-8fc1-c0814caa8448,est risus,1012.18,2019-05-31
a2590741-e566-4c0b-8529-f2fea4a24162,sapien,840.82,2018-10-18
bf81e521-ace0-4ece-a034-a381b40fc604,hac habitasse,-1050.53,2019-02-08
bf701d7b-c856-483d-9211-aea768d184df,vulputate vitae,-2872.91,2019-04-11
27d9b9cd-05e8-4440-a176-0fa54d83a8ec,convallis tortor risus,-6409.81,2018-10-03
7459b6f9-33b1-4d74-933b-21186191a32d,nulla eget,2488.05,2019-09-01
9611265b-4aa7-4e2d-97fa-785cb6d8d410,sit amet sapien,-1854.64,2018-11-23
3947f9bc-2fc8-4558-a724-3e62589ee25f,pede ac diam,-1638.58,2018-09-13
5d11d090-263c-4180-9e79-e770f05e2fe1,vel enim,-4349.37,2018-11-26
3a8d1e4c-49f7-4c0d-9629-009c2dd8bcb9,tempor,-10641.03,2018-10-17
6b1801e9-32fe-45e0-9ad5-cb50a3e6ed55,iaculis congue vivamus,-4022.1,2019-04-25
9628ebec-bbce-43d8-92f4-c128d917c035,convallis,-9673.08,2018-10-19
45016e9a-623c-4f98-abdc-3407f2ee7cfb,bibendum felis,2212.86,2019-08-05
e91bb717-88d5-49e3-aea9-5c1052af51ab,vel lectus,-8771.76,2018-09-24
8a3567a4-ff82-4b7b-b6ff-2a49c847a03c,porta volutpat,-10165.65,2018-10-10
ad04833b-294d-4391-a5be-f1f639db8c6d,nulla,-9570.5,2019-03-11
1b27f22a-3138-4324-8bab-ae53255d55ec,rutrum at,-4871.57,2018-12-11
ccd8b65e-3c41-4b99-b396-e43e10463ba4,et,-5368.16,2019-01-30
baa7158b-9281-49f6-a653-431682a6bba5,nunc,-2598.02,2019-07-02
677e6a42-1021-45dc-aa38-762a3e2b609c,ac,-8463.35,2018-10-14
b3f5cd20-b404-4db8-90ab-ef4757dddf11,maecenas tincidunt,-6121.14,2018-12-21
76f41fd4-4e8c-414c-924f-d13cd9620fe8,odio elementum,-749.7,2019-01-31
4da523fe-96ba-45de-91a5-242951f6da48,venenatis lacinia aenean,-8234.93,2019-07-27
032c12af-994a-47a4-a50c-7d6574a2f987,condimentum id luctus,1836.21,2018-11-04
091a9360-56ff-4cc7-9c93-81887169dee3,id ligula,-1967.09,2018-10-01
727f4053-9342-48e7-bb46-21f1340a02a8,integer,-7144.43,2019-05-24
9ea98924-ddd5-4d97-aede-330879830d2a,eu nibh quisque,-739.28,2019-07-06
66c97c20-96dc-4806-ad1a-f4c745b68d25,quis turpis eget,-9674.39,2019-04-13
ada4d227-af96-46fb-aa13-f86472f62c68,vulputate ut ultrices,-1468.34,2019-07-15
b1241b66-2eb6-49ea-a33a-d30015eaa215,nulla suscipit ligula,-5474.81,2019-06-25
beea1c21-81d8-4acc-8e6c-18a0c84c0018,lacus at,-6802.73,2018-10-11
6f8deb57-7f5a-4f6e-85d5-800cd85b8473,rutrum ac lobortis,-9123.16,2019-08-08
4b8f95b3-39e5-4587-84bb-8dc786f90c40,phasellus sit amet,-75.83,2018-12-27
a6ef0fac-81d4-4e93-8522-36f82754e918,et ultrices posuere,-4556.42,2018-10-10
f5c1e1b9-3a26-4971-9cbd-5deff09a8c52,sed,-6807.62,2018-10-05
95bf888d-5bc5-4511-b98a-3cd14e24e009,sed ante vivamus,-6844.43,2019-02-22
405c7834-9dc2-4cf7-859c-b017017830a8,erat volutpat in,-5892.55,2018-10-07
83f3051a-dbfd-4d0e-b4ec-3d09ba74c203,sit amet,1313.37,2018-12-11
43ac9b3c-40f1-41d6-ac16-66f2f0bfaf0d,lorem,-2773.88,2018-10-23
d225f2c7-3c42-41ea-960e-1f1ff66bc892,orci luctus et,-516.45,2018-09-23
c82137b5-de6d-4017-ba57-93cb69f2f73b,diam vitae,1252.06,2018-11-10
52b78a82-e76f-40ea-be07-956fd980f7e3,duis,-9912.24,2019-07-12
77b92cf3-4ba7-4f88-b64f-5a9731c17646,dis parturient,-10515.15,2018-12-03
4139d7be-5fb2-4ac1-bf88-2cd5080d0dda,molestie lorem,-7254.9,2019-07-15
f8796ac0-448e-466a-b02b-c5d0cb26926f,mauris non,-4960.37,2018-09-11
2851b161-0132-426c-94da-12f70cf6c160,vulputate,-9362.43,2019-07-13
b253bd34-22ef-4dbd-a106-165348a18a62,tortor eu pede,-9558.88,2019-04-15
646b07c9-ba3c-4ab7-ba77-c02582078a7f,hac,66.26,2019-03-20
07d83603-305d-460e-9d93-aa3a328e5740,dapibus nulla suscipit,451.85,2019-07-18
d2286eaf-b527-49e7-86b1-989f4272b236,etiam faucibus cursus,-7074.62,2019-06-18
961a2ed1-efd7-4185-b18d-e41b494f403b,augue vestibulum ante,-4243.28,2019-03-24
c0753b6b-162c-490f-83b9-7bb11e5b82b6,erat volutpat in,-3389.65,2018-12-23
f33e2b37-ecdf-4245-b601-daff827f2301,dolor,-831.87,2019-03-23
32427a29-54ee-42f4-b57d-325637d93dea,id,-1805.8,2019-01-03
503d2e5a-e08c-4ae6-9610-15ee6e96a440,metus,-8644.82,2018-10-19
bab0b5a8-e21c-4698-a666-c9f9e53eea5a,mauris,-4528.89,2019-01-19
315fad2e-d03d-4102-8c48-24afd77f5b2f,sollicitudin mi sit,-1355.77,2019-08-08
0fa76741-274e-49df-a16f-cdda6246abe0,accumsan tortor quis,1967.44,2018-10-01
2b157a42-dbd8-47f1-9457-ae33edc0e236,aenean,2551.41,2019-03-17
e23496b5-e650-412c-b6a4-0771e184e3ee,lobortis sapien sapien,1266.48,2019-05-28
273033b0-509a-4ae4-82f6-5a41bf79e69b,praesent blandit lacinia,-5408.08,2019-04-16
d1dddb8d-17f8-406d-8572-14c895ca3e80,lorem quisque ut,1938.46,2018-10-18
9e376297-0e64-4300-8637-025190ca9443,urna ut tellus,-9269.92,2019-08-19
ff0d3a28-5447-4473-9985-dc7476bd6186,in hac habitasse,-3214.33,2019-08-04
182abbcb-1ae3-4ac3-863d-ac560e47bd8a,fusce posuere felis,-5545.09,2019-06-03
24a54cd4-6e35-4081-8ceb-68f518d5155a,ullamcorper augue a,-8375.07,2019-01-19
077ac369-e258-470a-86ad-ec3707f95378,nulla eget,-7186.98,2019-05-13
e04e8058-5da6-44a1-ba23-c27881179eac,suspendisse,-2996.05,2018-10-01
664e75a1-b7e1-4ac0-94de-dea1deae4cd7,quisque arcu libero,-9015.37,2018-11-27
0f6c8037-d76c-42b3-8f59-68dfaf0a6da9,odio donec,-259.0,2018-12-09
92cff46a-920b-4425-ada3-f7aa0643afc9,sapien varius ut,-2291.87,2018-09-22
94a45fe6-99ee-45ff-bf7d-d8c86def7a3e,ipsum,-10446.67,2019-02-15
b3340a74-8f8d-409a-8777-dd1f68e55cf0,natoque,2435.36,2019-01-22
91d5761c-10e1-468b-a67c-e81db798e4e6,curae donec pharetra,-8015.33,2019-07-17
2e20034d-884e-45aa-829e-d56dde83a2b3,diam,-1902.41,2019-08-06
a51fea40-445a-4130-92ad-86116ae0649f,quam a odio,-9238.85,2019-07-23
764c0ca8-7eab-4f70-9388-1f9bb858c7c3,mus etiam vel,-3239.41,2019-02-02
479543a4-c545-4754-9f0e-13a04798ff85,pretium,-732.95,2019-08-30
55897c09-f37e-4b4b-a9b2-8c6446e46790,vivamus in,1208.81,2019-02-09
8731e5a9-a837-44fc-8c29-9a74773c8feb,lectus pellentesque eget,-10241.27,2018-09-28
6f296342-dbc6-49a2-b5c9-1ab0dc86ef40,risus semper porta,-10542.62,2019-05-17
8e0dbeca-88fb-4223-9a2a-d4f3492dc9c2,lectus,2215.23,2019-07-09
ab49a03d-314d-4db5-ae59-d9d8f703cc34,vestibulum,-4948.47,2018-12-10
2f4e1497-76d0-4b86-b308-4014b4973f6a,arcu,-959.32,2019-01-17
8f2c0ecd-a264-431c-8871-418433214741,velit vivamus,-5316.82,2019-07-08
4233117d-baee-41c0-a8f7-4138d587eab6,orci nullam,-1725.89,2018-12-15
2b5c8f7d-13fa-495b-80d5-6e933e661df1,augue aliquam erat,-6308.39,2019-03-16
3f22f6c6-fc85-4d4e-bc1b-129afa5ca3ba,vitae nisl aenean,-6987.4,2019-07-30
0c808b43-a987-478f-b61f-636bf793b8d3,pellentesque viverra pede,-267.79,2018-12-26
787429dc-d95a-4704-8a1c-0601a7489100,at turpis a,-6604.52,2019-08-04
7ee75b81-f85c-4401-b16b-144e73a3ae16,fusce consequat nulla,-3025.83,2019-05-14
efd2a1d7-201d-4d80-924e-336072732db0,dis,-1891.79,2018-10-20
f5e16d91-7e42-40db-be64-90bdb9c85329,id ligula suspendisse,-6488.38,2019-07-07
c8af757e-514c-423c-8cfc-2b2ca18f4741,consectetuer adipiscing,-1991.72,2019-01-01
775b6b16-c7bb-425a-9d58-88a4e91cc4ce,vel pede morbi,-9662.26,2018-12-25
33531545-435b-42aa-af3d-572a2bf859aa,volutpat,1740.7,2018-11-23
ef9eba6d-44b3-40d5-8ccf-6f1545f1b51c,nisi volutpat eleifend,-4973.11,2018-12-25
c28a4d70-a2e1-4f2d-a945-2a3abf4bd40c,ligula vehicula consequat,2474.83,2019-07-21
d3bdfa1d-2a2b-49bf-add2-3f7e24c2ece7,faucibus,-2237.32,2018-09-24
7af4c0bb-1472-469c-9e48-aaf67edd011b,volutpat quam pede,1750.63,2019-06-15
8fcbb29a-1bde-4ef2-978c-56dfa7c13dce,vulputate ut,-8591.32,2019-01-12
9e28685f-3a20-4373-a5ba-95dac9ee5579,at diam nam,2704.96,2018-11-06
5efc1337-b126-4130-b49b-ff64a566e26e,parturient montes,-450.93,2018-11-11
804404da-e346-4cdf-8e8a-5cf11691b2a0,interdum venenatis turpis,-3608.8,2019-03-07
081a2bbe-d250-4020-b3e1-a65f8c6df3e6,augue aliquam erat,-8584.82,2018-11-12
d36993ee-35e0-44ce-ac7a-d392cae100c2,neque duis,-5276.4,2019-05-08
cd00f72f-f93a-479a-8fb1-4f563449da20,commodo vulputate justo,-4726.45,2019-08-17
d4c6c964-4e06-4699-ac5c-c9eddbef2b45,justo in,1764.76,2019-07-11
e3fe8113-c696-4100-9a5c-1b56d4fd025b,ultrices aliquet,-7833.58,2018-10-27
57115735-6a1c-4956-9f2a-f3585760b039,mattis odio donec,900.15,2019-07-04
671ea2bf-efcf-45ac-8b87-6d4193dbc559,dolor vel est,-1742.09,2019-04-05
17f12ede-5c92-4869-8d99-6d9d11b2afd6,varius integer,-1768.09,2019-03-10
0b500813-bda2-4ee2-b826-df230703b6f5,vestibulum,498.42,2019-01-29
c71cf53f-06d4-44c2-af89-25601ca5cae6,nisl,-5883.12,2019-03-20
d973e54f-5024-494b-a174-85fa682cd6ac,in tempus sit,-3881.34,2019-05-27
9ad1a165-7877-4abc-9bf3-f500fda2f04b,quis,-9412.69,2019-02-18
be396401-68af-445d-a530-bf586a7316e3,turpis a pede,-455.91,2018-11-15
096fefc0-fc3f-4764-88ba-f0805e1d7663,purus phasellus,370.4,2018-12-17
d58b0685-f369-4494-9f76-5374a0f84e06,accumsan,-4527.47,2019-01-11
964eaf9a-15e9-4817-83b8-a7e57aa958d7,porta volutpat,-7731.53,2019-05-11
58dfc9ab-b83b-404c-b5de-fd568908713f,vel,-4970.03,2019-05-20
4ff2a85e-a2f3-486d-939a-4b840b3f4ecd,a nibh,-604.66,2019-08-16
21129206-a68c-4cc5-ab1a-08c437092017,quam,-9617.15,2018-09-27
da9f9381-1d29-4e37-b644-c138948ebd89,nulla nunc purus,-5029.5,2019-01-13
2f1ee6ad-ecb4-4b28-ad28-e281665b8da8,aenean auctor gravida,977.51,2019-08-24
3795425b-ce02-4b4f-b2e2-eca0aaeb15fe,luctus cum,-3275.03,2019-02-19
929c2219-cd32-4c54-8dfe-e44c290d6dd5,tincidunt,-5329.01,2019-05-29
df7b09a6-57b0-4144-98a4-9bec2c7fad5e,suscipit,-4509.65,2018-11-09
3d0ef6a4-68b5-4f67-ab7a-69a276723dc2,posuere,-10896.16,2018-10-07
7f90a0da-e345-4a79-9f71-2005e3743815,montes nascetur ridiculus,-10539.52,2019-08-05
227dbe81-c4e0-44ef-a82a-477c0e996427,eget,-8460.23,2019-04-22
0204fd0d-f136-4b1f-b642-8391da793f1a,elit ac nulla,-10674.29,2019-09-01
ab5b8a02-71dd-4f2a-854c-ac7c9f69008d,primis,-4157.94,2018-12-22
6df24a45-cabe-46a7-b6ef-949e5b890890,ultrices posuere,-4359.59,2019-05-30
a75a43dd-2eda-4b94-a16e-163a5062c5bb,id sapien in,1387.44,2019-05-07
a5fbe9e3-47e3-4111-934f-ef3eb8f26bc5,enim,-9923.06,2018-11-17
781cb9de-517f-4254-812e-663a5b3129b3,interdum mauris ullamcorper,-1846.43,2019-03-14
1f424ded-e0a3-4844-8e1d-48178d4ed6b8,morbi vestibulum,-1153.68,2019-05-05
b07c2644-36db-4a4c-89b0-fd4d77f83a58,velit,2099.92,2018-09-12
604b294e-86b8-4d5e-92f6-ff8e23200d9f,felis donec semper,-2132.24,2018-11-30
dc686682-5e42-42b4-8346-e00fed7465a4,proin interdum,1105.8,2019-01-15
41f4af2c-dd26-42a0-825e-d8157d66ec07,in sagittis,-9657.47,2018-12-03
00aa827f-1350-471c-b9fd-11c902b793d4,pede,2747.06,2019-02-27
e2e36ee5-c00d-4a72-bdb8-60b2a61c759a,consectetuer adipiscing,-9031.0,2019-02-25
e0f57c7d-4c0a-4428-bae1-9627e13538be,non interdum,-7329.44,2019-03-29
e5343ffe-3f2c-4cd8-ae41-6fcf09d0b1f5,mauris,1296.59,2018-10-23
34195771-f9c3-4de8-9d60-efff35811e3f,turpis adipiscing lorem,2962.94,2018-11-15
aac24e83-30c5-4848-8621-ba2c33a731ec,tempus semper,-2019.89,2019-05-23
dcf920ee-2200-41b9-b7e6-b643e3a48476,rhoncus mauris enim,-575.71,2019-07-08
2a6f4a73-0fdf-4439-a0c5-ef367f48df2b,vel,1809.77,2019-06-08
ef4744ce-cb20-4caa-8501-c0f03c708aae,varius nulla,-6744.74,2019-05-17
5fe9fc39-67c5-4443-81ce-bcc4400669dc,diam vitae,-1884.66,2019-01-30
c8ef28f7-ec85-40cc-b000-8a714da8a0df,non mattis,606.49,2019-04-21
e6b44542-7ae0-4546-87b2-7d3b1cb898a3,justo lacinia,-6034.66,2019-06-18
a27671e9-cba8-43f4-8cc2-74b380551b33,ultrices,-8006.04,2019-03-18
371153e1-4307-4ab9-9d34-dcbdb37eb222,odio consequat,-2474.82,2019-09-03
62320dff-1518-4f97-af2e-4926682b532d,turpis,-3984.81,2019-03-21
b30b4dc8-dc01-4e32-afe2-add15e6cd77f,leo,-4495.93,2019-04-04
5cd5426b-bd0f-4644-a15e-e564a9338bee,lobortis,-3355.34,2019-01-17
175ce2bc-ea90-463f-b579-56b326135566,malesuada,2690.37,2019-05-02
1b47b62b-baee-43cf-a98e-6d06a57a1b00,curabitur in libero,-1255.17,2019-03-22
681f2718-290e-417c-bbcb-d7040dc1ec44,aliquet maecenas leo,-9102.64,2019-09-09
99c851dc-dfaa-4d44-94b8-a3125d9433ba,consequat morbi a,24.22,2019-06-07
4a2a9215-fc3b-4a6d-a3c6-a87d5c6bad5e,ultrices enim,-8162.81,2019-04-17
13e0d19f-44cd-4ec4-be3b-b417cd9d309f,erat tortor,-5871.86,2019-07-18
82711172-f672-488e-80fb-3b8b6a27018d,congue eget,-9354.4,2019-05-03
e47ae7b5-7663-4e6e-8ac5-a88ade730745,duis,-1247.9,2018-11-11
e2af791d-60a7-4dba-b981-f34b9628cd68,accumsan tellus nisi,-574.04,2018-09-15
a0685874-36fc-4da7-a957-82931d07e53b,eget vulputate ut,417.02,2019-01-27
af405e6d-1d19-4399-b8bc-f6adb7c5ce37,at,2072.59,2018-10-25
b4db535a-5001-47bb-93c4-26683e5d5d50,est et,-5991.36,2019-01-16
44963b23-dc7b-4923-98a6-f40b2d3b3ca9,donec pharetra magna,-10323.22,2019-01-02
a6435f36-56b4-46d5-b491-e241c3d0f86e,imperdiet,-1195.22,2019-04-11
154a9125-57ff-4072-bea0-03b227d75cea,amet eleifend,-8030.8,2019-06-26
3ace4714-a244-45ea-a8dc-d1aa01db59c1,nulla,-2363.35,2018-11-06
6ff00347-ef06-40fe-9ecc-9cd1695198a7,nunc purus,-3100.9,2019-08-08
5714ba8a-ec48-4e4b-935d-dc36dc968819,rhoncus,-7541.92,2018-11-07
3ebf38fd-921a-4f64-8ea0-98aaf0209b33,pharetra magna ac,-6979.9,2019-08-20
904d6483-cde9-4e0e-bdd6-cef732a938b4,mauris,-2354.8,2019-04-02
014cf2e8-d033-4b30-9c9f-985e5882829b,curae mauris viverra,2459.8,2018-12-31
eb2879c0-36db-4df9-95f6-b5cf2884c494,nisi vulputate nonummy,-4273.51,2018-10-17
e654c542-be37-46c5-96cb-683d235253db,morbi odio,2461.38,2018-09-19
2fd2c3b2-2eae-4dde-86af-dcc9e8a426b3,ut mauris,-6578.0,2018-12-17
89cdf17a-465e-4edc-b2df-fa6ce2672f9c,faucibus orci,-2140.42,2019-05-26
f6ed5d45-3dfe-4b4b-a54d-6cb1131aed5c,hac habitasse platea,-1645.47,2018-11-14
209d2c5b-d3d3-4f7b-b313-6e5ff05e0b98,rhoncus dui,-5668.49,2019-05-10
26898cf1-7935-44c4-89a2-ff2bb4ccd685,phasellus,1771.48,2018-11-26
c8a86a76-4411-4e1b-9c4a-7e190e72abe2,rhoncus aliquet pulvinar,1597.06,2019-09-01
09d6ade2-1ab6-4f76-9209-27b4e7408830,justo nec condimentum,2248.65,2019-01-28
f4c3340f-0a08-48bb-ad5d-2cb02ae11b89,mi,861.81,2019-05-02
7ccd1f06-cd2f-49d3-b713-c7b7a728ad69,magnis dis,-3821.89,2019-07-20
1b45c1ea-62c0-416b-91b6-d751a33a6c51,rutrum nulla nunc,-6316.43,2019-05-14
e1e9d92e-5157-4407-98c3-85aacb682060,eget rutrum at,-2272.56,2019-02-14
4456647f-bbd8-4e8f-beb2-d7d25fca0ab3,faucibus accumsan odio,-6784.46,2018-11-09
b349039f-efc5-482d-b36f-c39ed0cc2b06,pede posuere,2974.9,2019-01-02
cb8f0b5c-39a9-4345-89e0-1d2bb57afd2c,et commodo,-6788.18,2018-11-29
d2f92aab-72fa-4dd1-9f34-4d1e90e0a597,convallis morbi,-6094.22,2018-12-13
b446c8fd-7b1c-4518-a138-7a0a1eda3f15,sed vestibulum sit,-6234.53,2019-08-29
b802e912-8b9d-47cf-8ba6-9c991877bf1a,posuere felis sed,-3239.06,2019-06-15
5922310c-04f0-42c8-a0ee-4ac95bac2cd8,penatibus et magnis,-9914.07,2018-12-11
805f3e46-44d6-48c8-a429-64c9058a266e,adipiscing lorem vitae,-9263.42,2019-06-09
8feb7b5a-018a-4ba1-bd17-8af1ce0c24b4,ut rhoncus,-4921.04,2019-08-31
5042c439-d14d-4e7e-bab3-6b72c0316496,mauris,-6717.58,2019-01-20
5324fe09-22e0-446e-aa11-1bafcd10ab06,sociis natoque,-3987.08,2019-08-17
744228f2-de4d-47c3-a895-3192d4293f2f,libero convallis eget,-2466.07,2019-03-24
86b3233f-7aab-402d-9e99-49c20e9630dc,blandit non,-8343.6,2019-03-18
d6e07437-3435-40a8-94df-9478078679a8,sed interdum,-1854.46,2019-03-24
7a98d3e2-d04d-4367-83c0-ade5222faeae,nibh,-3766.08,2019-08-22
94bd9089-be9f-4373-a81c-3fd264b7620f,quam a odio,-357.36,2019-02-27
50fe812e-6cd0-42ea-88a5-472c42332f12,urna ut,-1468.6,2019-06-09
7673c264-0b79-4625-a9c9-383b20400798,in hac,-1969.57,2019-01-26
4df85904-79b0-4f01-94f1-9a876f5c4862,eros viverra eget,570.93,2019-05-28
3421bf20-700c-4991-bf62-5ab7cdd2929a,rutrum,-4171.08,2019-06-04
94cebcab-790c-489a-9434-13c5ed4ad231,at nulla,-2649.11,2019-04-28
f5c77a8c-dcc0-467f-8c14-075cfcad2767,accumsan felis ut,-7641.83,2019-06-18
0f499042-195c-43d9-963e-d0f37af27a5e,pretium nisl,-10903.52,2019-05-20
42d4b1bf-fee5-4c77-a102-6447f7cac40b,curabitur,-10690.27,2019-03-19
120c5541-9b70-4de9-a5ec-feadb0f77ca0,ac,496.67,2018-10-14
abd3cf6f-c693-4f1e-affe-b54491d7924f,sapien dignissim,-3320.36,2019-08-24
6b1e4875-8bcd-45d0-b849-b02398e08c17,natoque,-3981.93,2019-04-13
c9757c52-95a3-498c-8b83-5a0cad216f8f,ante vivamus,-9427.99,2018-12-07
d09c0a87-6ab3-4bda-bc78-4139be80bd9c,porta volutpat quam,1862.15,2019-08-24
f5ed8199-d091-43f0-a550-9909ca21e366,maecenas tristique est,-2541.52,2019-01-16
7c1cb998-8785-4bf0-bfae-c4ac5273dac1,sed tincidunt eu,-7635.3,2019-03-06
b3647dee-30e5-44e2-851d-1fed8cff58ef,aliquet maecenas,1807.67,2019-05-17
e685d487-f905-4084-a152-6e51f1e8201a,cubilia,-9999.36,2019-08-28
4e417d58-7b17-438d-954f-e0e648b7ba8b,in,66.54,2019-07-28
d9c1ce4d-c455-4eb1-a565-47ed1d36bbf0,tincidunt,-9313.24,2019-02-27
6918b53a-e01e-4f46-b520-8943d8a40f56,luctus rutrum nulla,406.03,2019-08-22
980210a7-7715-4e1f-ace5-c1918151a5d6,libero,-881.11,2018-09-15
d6d9124c-bded-42de-92af-c7911ab265bf,ultrices,-2982.09,2019-03-23
39cebf45-ce07-4e94-84e2-67e268d903e8,pellentesque,-579.55,2018-10-09
1b7de0ce-eec6-458a-a076-792a56cfc1bc,lacinia,-8973.74,2018-10-26
a7ad9fdb-1378-4847-9ee4-355ca6238d1f,vulputate ut ultrices,2677.47,2019-06-21
9c5ff8e3-b73f-44af-8631-e648022b06ae,ullamcorper purus,-7108.72,2019-04-30
83e15875-3154-4d54-8f6e-48d34a95745e,cras non velit,-744.06,2018-09-12
d5f716ab-0af7-468f-8dcb-b4a3be3cb276,quis turpis,-6989.23,2019-02-06
0e75d1fb-9f17-476a-9982-f4c2aad43791,odio consequat,-2925.26,2018-10-24
b7e6b997-1bcb-4580-8624-a81f0d508cd7,nibh ligula,-834.4,2019-07-19
c3bfd850-b5c3-4388-a874-35867128d461,mauris vulputate elementum,-6462.54,2019-04-15
467a5c46-97ef-4678-9f89-412e3a7d0c0c,ligula sit,2245.52,2019-03-24
32d13c7b-28a9-4c90-a95e-7b9916b753e4,nibh quisque,-10030.53,2019-02-24
27a62ab8-89a7-4791-921f-053a6456ec8b,et tempus,728.71,2019-08-06
8b95ecee-1b02-4c6b-a0e2-af2fbe303348,lorem ipsum dolor,-6201.56,2018-10-02
4a937422-153f-482e-bdd7-a6cf99195aa2,luctus,-9139.61,2019-01-25
f556f260-170b-4007-97e1-5d8ccdaf5a6a,ante ipsum primis,-7747.88,2018-11-30
d29c2cb5-8080-40ea-b3a2-dbe88d495e13,interdum in,-2228.01,2019-03-20
0b56e02b-b83d-487b-8a8f-ddadf189f824,sem sed,-10689.17,2019-06-30
06e18d3f-3cb5-4a44-9acc-ed390f491f75,pharetra magna vestibulum,-10626.85,2019-09-03
f48dc487-95f0-4ccd-8128-161bd97ebce9,tortor risus dapibus,-572.55,2019-08-23
673eb70b-cc3f-4fe7-a102-f9392058aa04,mattis,-4659.64,2019-07-02
61e5b645-c7a8-4440-ae5b-efac32fde150,proin,-4070.09,2018-09-11
d04e090e-6793-42ae-9cac-02c7d5092911,luctus nec molestie,-5366.65,2019-08-01
b2f3c57c-f341-4715-9e18-5efdb1dac1ec,at nulla,1436.48,2018-10-10
ae2cd00b-9665-4603-8401-8bed11399539,vel ipsum,-1183.52,2019-07-31
6a1868d7-6211-4e5b-9816-0c351cb81011,at,-1689.12,2019-08-18
8d1a29bc-1b03-4c2b-9768-01b6c3eb5e3c,odio in hac,2425.88,2019-05-24
2464519c-3639-4d07-ac2f-f2083a121511,a libero nam,-5067.47,2019-01-31
c347cd6e-28f9-47c3-a737-24d5aa5d2eaf,viverra pede ac,-9814.14,2019-01-19
0a97211c-c043-4226-a199-5bc60e09cffc,libero,-1237.76,2019-03-25
93384f7a-301e-4d23-ba5b-5bfd911738c6,elementum nullam varius,-8417.44,2018-11-07
c5bcefd4-65dd-4bd4-a675-97faa1013943,mi integer ac,-10599.99,2019-02-28
7c1b0885-547e-4503-81b5-b4c05c769b53,cras pellentesque volutpat,-3876.03,2018-11-28
f51b61c7-de16-4ed5-a3fc-d7d231d0bea8,ut nunc vestibulum,-10294.74,2018-12-14
0aedea89-31b0-4486-b647-5cdc6bde4a8b,tincidunt,-5925.71,2019-03-28
c7ec90c2-6055-41a3-b1bd-0716813b3e9a,commodo vulputate justo,-6401.18,2019-07-14
4ad4bcf0-abb8-469a-9b1f-acacf8b596bf,quam,-4310.39,2019-03-24
7d192c06-3eab-4844-adcd-334e8fe594dd,eleifend donec,-4185.31,2019-04-10
7c78862b-c249-4e19-a02b-d2d77a3dc582,posuere,-5930.43,2019-08-20
0ffddfbe-6224-4262-aea1-6e52ca38062b,ultrices vel,-2354.61,2019-05-29
